Frequency - Plot 0	Amplitude - Plot 0
100,026	2,16476
100,026	2,16473
100,026	2,1646
100,897	2,06673
200,052	2,1646
200,052	2,16456
200,052	2,16457
200,052	2,16461
299,41	2,09443
300,078	2,16443
300,077	2,16448
300,078	2,16448
300,078	2,16454
399,918	2,16447
399,917	2,16444
399,917	2,16438
399,918	2,16432
399,918	2,16443
499,943	2,16436
499,943	2,16429
499,943	2,16444
499,943	2,16429
499,944	2,16432
599,969	2,16438
599,969	2,1644
599,969	2,16437
599,969	2,16442
599,969	2,16431
699,995	2,1642
699,995	2,1641
699,995	2,16396
699,995	2,16421
699,995	2,16407
800,021	2,1641
800,021	2,16409
800,021	2,16417
800,021	2,16408
800,021	2,1641
900,047	2,16398
900,047	2,16405
900,047	2,16401
900,047	2,16412
900,047	2,1641
1000,07	2,164
1000,07	2,16394
1000,07	2,16394
1000,07	2,16393
1098,28	1,92181
1100,1	2,16377
1100,1	2,16382
1100,1	2,16387
1100,1	2,1639
1199,94	2,16373
1199,94	2,16381
1199,94	2,16376
1199,94	2,16387
1199,94	2,16385
1299,96	2,1637
1299,96	2,16366
1299,96	2,16373
1299,96	2,16365
1299,96	2,16376
1399,99	2,16358
1399,99	2,16357
1399,99	2,16355
1399,99	2,16363
1399,99	2,16345
1500,02	2,1635
1500,02	2,16341
1500,02	2,1635
1500,02	2,16343
1502,48	1,77316
1600,04	2,1634
1600,04	2,16342
1600,04	2,16344
1600,04	2,16336
1700,22	2,14062
1700,07	2,16329
1700,07	2,1633
1700,07	2,16335
1700,07	2,16327
1800,09	2,16326
1800,09	2,16326
1800,09	2,16332
1800,09	2,16319
1800,09	2,16321
1900,12	2,16323
1900,12	2,16316
1900,12	2,16313
1900,12	2,16315
1900,12	2,16306
1999,96	2,163
1999,96	2,16309
1999,96	2,16315
1999,96	2,16317
1999,96	2,16307
