13/05/2025	17:18
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
1000,054            -30,196             72,345
1122,057            -29,260             73,696
1258,962            -28,318             74,954
1412,630            -27,361             75,934
1584,925            -26,413             77,189
1778,267            -25,447             77,879
1995,265            -24,473             78,433
2238,713            -23,496             78,796
2511,963            -22,519             79,040
2818,368            -21,543             79,215
3162,213            -20,562             79,218
3548,153            -19,585             79,089
3981,031            -18,608             78,778
4466,809            -17,633             78,370
5011,819            -16,660             77,833
5623,326            -15,695             77,142
6309,524            -14,733             76,300
7079,542            -13,779             75,289
7943,250            -12,834             74,186
8912,571            -11,903             72,825
9999,983            -10,984             71,323
11220,202            -10,083             69,608
12589,246             -9,203             67,702
14125,369             -8,348             65,587
15848,875             -7,522             63,289
17782,860             -6,730             60,788
19952,655             -5,977             58,202
22387,132             -5,267             55,374
25118,887             -4,605             52,405
28183,870             -3,995             49,323
31622,685             -3,438             46,179
35481,341             -2,938             43,010
39810,687             -2,493             39,857
44668,280             -2,102             36,747
50118,752             -1,763             33,726
56234,188             -1,472             30,824
63095,801             -1,225             28,076
70794,486             -1,017             25,471
79432,875             -0,843             23,051
89125,149             -0,699             20,801
100000,016             -0,579             18,809
