13/05/2025	17:15
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058             -2,718             -0,388
 11,176             -2,718             -0,434
 12,666             -2,719             -0,492
 14,156             -2,720             -0,551
 15,832             -2,720             -0,616
 17,695             -2,721             -0,682
 19,930             -2,722             -0,777
 22,352             -2,722             -0,863
 25,146             -2,724             -0,970
 28,126             -2,725             -1,094
 31,665             -2,726             -1,234
 35,390             -2,728             -1,376
 39,861             -2,730             -1,542
 44,703             -2,732             -1,737
 50,105             -2,734             -1,944
 56,252             -2,738             -2,183
 63,144             -2,741             -2,447
 70,781             -2,745             -2,740
 79,349             -2,750             -3,074
 89,034             -2,756             -3,451
100,024             -2,763             -3,877
112,131             -2,772             -4,348
125,915             -2,782             -4,877
141,189             -2,795             -5,471
158,511             -2,809             -6,132
177,883             -2,825             -6,867
199,489             -2,844             -7,691
223,890             -2,869             -8,615
251,271             -2,898             -9,637
281,818             -2,935            -10,767
316,277             -2,980            -12,040
354,834             -3,035            -13,439
398,047             -3,103            -14,983
446,662             -3,186            -16,686
501,238             -3,287            -18,557
562,333             -3,409            -20,593
630,878             -3,556            -22,799
707,991             -3,733            -25,177
794,418             -3,944            -27,718
891,276             -4,192            -30,405
1000,054             -4,482            -33,244
1122,057             -4,818            -36,182
1258,962             -5,201            -39,200
1412,630             -5,636            -42,266
1584,925             -6,120            -45,346
1778,267             -6,655            -48,405
1995,265             -7,239            -51,409
2238,713             -7,869            -54,323
2511,963             -8,543            -57,126
2818,368             -9,257            -59,799
3162,213            -10,006            -62,322
3548,153            -10,789            -64,690
3981,031            -11,598            -66,901
4466,809            -12,432            -68,950
5011,819            -13,287            -70,861
5623,326            -14,161            -72,605
6309,524            -15,050            -74,209
7079,542            -15,953            -75,680
7943,250            -16,868            -77,027
8912,571            -17,792            -78,261
9999,983            -18,726            -79,378
