Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-2,28761	0	-0,951961	0	1,45482
2,00E-06	-2,75	2,00E-06	-2,0292	2,00E-06	1,35161
4,00E-06	-2,73326	4,00E-06	-2,44974	4,00E-06	1,26516
6,00E-06	-2,72134	6,00E-06	-2,61299	6,00E-06	1,19496
8,00E-06	-2,71748	8,00E-06	-2,67514	8,00E-06	1,12573
1,00E-05	-2,70202	1,00E-05	-2,69091	1,00E-05	1,06342
1,20E-05	-2,69413	1,20E-05	-2,69317	1,20E-05	1,00369
1,40E-05	-2,68528	1,40E-05	-2,68946	1,40E-05	0,945089
1,60E-05	-2,67417	1,60E-05	-2,68158	1,60E-05	0,887612
1,80E-05	-2,67353	1,80E-05	-2,67884	1,80E-05	0,831584
2,00E-05	-2,65855	2,00E-05	-2,66741	2,00E-05	0,779259
2,20E-05	-2,65276	2,20E-05	-2,66097	2,20E-05	0,728061
2,40E-05	-2,64245	2,40E-05	-2,65211	2,40E-05	0,675736
2,60E-05	-2,63666	2,60E-05	-2,64116	2,60E-05	0,628724
2,80E-05	-2,62909	2,80E-05	-2,63295	2,80E-05	0,579458
3,00E-05	-2,61766	3,00E-05	-2,62667	3,00E-05	0,533252
3,20E-05	-2,60864	3,20E-05	-2,61846	3,20E-05	0,483825
3,40E-05	-2,6051	3,40E-05	-2,61106	3,40E-05	0,438745
3,60E-05	-2,59174	3,60E-05	-2,6043	3,60E-05	0,395597
3,80E-05	-2,58498	3,80E-05	-2,59576	3,80E-05	0,353416
4,00E-05	-2,57886	4,00E-05	-2,5882	4,00E-05	0,313327
4,20E-05	-2,57081	4,20E-05	-2,58047	4,20E-05	0,271306
4,40E-05	-2,56163	4,40E-05	-2,57	4,40E-05	0,232344
4,60E-05	-2,55342	4,60E-05	-2,56372	4,60E-05	0,192256
4,80E-05	-2,54666	4,80E-05	-2,55793	4,80E-05	0,153455
5,00E-05	-2,5444	5,00E-05	-2,54778	5,00E-05	0,116264
5,20E-05	-2,53684	5,20E-05	-2,53957	5,20E-05	0,0818104
5,40E-05	-2,53136	5,40E-05	-2,53555	5,40E-05	0,0460686
5,60E-05	-2,52283	5,60E-05	-2,52991	5,60E-05	0,0117759
5,80E-05	-2,51687	5,80E-05	-2,52267	5,80E-05	-0,0229998
6,00E-05	-2,51253	6,00E-05	-2,51671	6,00E-05	-0,0572926
6,20E-05	-2,50238	6,20E-05	-2,51542	6,20E-05	-0,0886873
6,40E-05	-2,50029	6,40E-05	-2,50641	6,40E-05	-0,120404
6,60E-05	-2,49321	6,60E-05	-2,49948	6,60E-05	-0,151477
6,80E-05	-2,48999	6,80E-05	-2,49337	6,80E-05	-0,182711
7,00E-05	-2,48419	7,00E-05	-2,48821	7,00E-05	-0,212173
7,20E-05	-2,47791	7,20E-05	-2,48499	7,20E-05	-0,238899
7,40E-05	-2,47147	7,40E-05	-2,47566	7,40E-05	-0,268523
7,60E-05	-2,46423	7,60E-05	-2,47115	7,60E-05	-0,295571
7,80E-05	-2,46374	7,80E-05	-2,46696	7,80E-05	-0,322296
8,00E-05	-2,45972	8,00E-05	-2,46084	8,00E-05	-0,350632
8,20E-05	-2,4499	8,20E-05	-2,45521	8,20E-05	-0,376714
8,40E-05	-2,44555	8,40E-05	-2,45006	8,40E-05	-0,402635
8,60E-05	-2,44217	8,60E-05	-2,44893	8,60E-05	-0,42453
8,80E-05	-2,43911	8,80E-05	-2,44249	8,80E-05	-0,451578
9,00E-05	-2,43235	9,00E-05	-2,43508	9,00E-05	-0,474762
9,20E-05	-2,42752	9,20E-05	-2,43122	9,20E-05	-0,496819
9,40E-05	-2,42156	9,40E-05	-2,42977	9,40E-05	-0,520485
9,60E-05	-2,41802	9,60E-05	-2,42414	9,60E-05	-0,543991
9,80E-05	-2,41528	9,80E-05	-2,4222	9,80E-05	-0,564116
1,00E-04	-2,40578	1,00E-04	-2,41673	1,00E-04	-0,586173
0,000102	-2,40884	0,000102	-2,41287	0,000102	-0,606137
0,000104	-2,40353	0,000104	-2,40949	0,000104	-0,626905
0,000106	-2,40015	0,000106	-2,40466	0,000106	-0,647835
0,000108	-2,39725	0,000108	-2,40127	0,000108	-0,666833
0,00011	-2,39387	0,00011	-2,39805	0,00011	-0,686958
0,000112	-2,38727	0,000112	-2,39322	0,000112	-0,70499
0,000114	-2,38501	0,000114	-2,38759	0,000114	-0,722217
0,000116	-2,38614	0,000116	-2,38678	0,000116	-0,741214
0,000118	-2,37841	0,000118	-2,3826	0,000118	-0,759085
0,00012	-2,37938	0,00012	-2,38131	0,00012	-0,776151
0,000122	-2,37294	0,000122	-2,37616	0,000122	-0,793056
0,000124	-2,37278	0,000124	-2,37246	0,000124	-0,808834
0,000126	-2,36408	0,000126	-2,37181	0,000126	-0,825095
0,000128	-2,3636	0,000128	-2,36795	0,000128	-0,841355
0,00013	-2,36135	0,00013	-2,36698	0,00013	-0,856972
0,000132	-2,35845	0,000132	-2,36473	0,000132	-0,872428
0,000134	-2,35491	0,000134	-2,36151	0,000134	-0,886435
0,000136	-2,35265	0,000136	-2,3578	0,000136	-0,901247
0,000138	-2,35249	0,000138	-2,35201	0,000138	-0,915415
0,00014	-2,34412	0,00014	-2,35008	0,00014	-0,928134
0,000142	-2,34331	0,000142	-2,35056	0,000142	-0,943589
0,000144	-2,34412	0,000144	-2,34702	0,000144	-0,956308
0,000146	-2,34138	0,000146	-2,3438	0,000146	-0,969832
0,000148	-2,33559	0,000148	-2,34058	0,000148	-0,983356
0,00015	-2,33881	0,00015	-2,33961	0,00015	-0,994626
0,000152	-2,33317	0,000152	-2,33784	0,000152	-1,00702
0,000154	-2,33559	0,000154	-2,3306	0,000154	-1,01926
0,000156	-2,32995	0,000156	-2,33237	0,000156	-1,03133
0,000158	-2,32963	0,000158	-2,33092	0,000158	-1,04341
0,00016	-2,32319	0,00016	-2,32641	0,00016	-1,05516
0,000162	-2,32464	0,000162	-2,32689	0,000162	-1,0653
0,000164	-2,31965	0,000164	-2,32255	0,000164	-1,07674
0,000166	-2,31755	0,000166	-2,32238	0,000166	-1,0872
0,000168	-2,31498	0,000168	-2,3211	0,000168	-1,09863
0,00017	-2,31755	0,00017	-2,31707	0,00017	-1,10845
0,000172	-2,31289	0,000172	-2,31594	0,000172	-1,11892
0,000174	-2,3095	0,000174	-2,31417	0,000174	-1,12809
0,000176	-2,3116	0,000176	-2,31176	0,000176	-1,13856
0,000178	-2,30532	0,000178	-2,30773	0,000178	-1,14661
0,00018	-2,30339	0,00018	-2,30612	0,00018	-1,15659
0,000182	-2,30403	0,000182	-2,30387	0,000182	-1,16561
0,000184	-2,30484	0,000184	-2,30323	0,000184	-1,17446
0,000186	-2,29823	0,000186	-2,30033	0,000186	-1,18332
0,000188	-2,29856	0,000188	-2,30162	0,000188	-1,19169
0,00019	-2,29775	0,00019	-2,29968	0,00019	-1,1999
0,000192	-2,2926	0,000192	-2,29711	0,000192	-1,20795
0,000194	-2,29743	0,000194	-2,29389	0,000194	-1,21632
0,000196	-2,28906	0,000196	-2,29308	0,000196	-1,22324
0,000198	-2,28954	0,000198	-2,29147	0,000198	-1,23226
0,0002	-2,2889	0,0002	-2,29051	0,0002	-1,23918
0,000202	-2,28664	0,000202	-2,28986	0,000202	-1,24691
0,000204	-2,28423	0,000204	-2,29002	0,000204	-1,25448
0,000206	-2,28568	0,000206	-2,28841	0,000206	-1,2614
0,000208	-2,28374	0,000208	-2,286	0,000208	-1,26832
0,00021	-2,28149	0,00021	-2,28423	0,00021	-1,27557
0,000212	-2,28004	0,000212	-2,286	0,000212	-1,28169
0,000214	-2,28101	0,000214	-2,286	0,000214	-1,28845
0,000216	-2,28004	0,000216	-2,28133	0,000216	-1,29521
0,000218	-2,27908	0,000218	-2,28117	0,000218	-1,30181
0,00022	-2,27747	0,00022	-2,28052	0,00022	-1,30729
0,000222	-2,27215	0,000222	-2,28069	0,000222	-1,31373
0,000224	-2,27795	0,000224	-2,28197	0,000224	-1,32
0,000226	-2,27135	0,000226	-2,27827	0,000226	-1,32628
0,000228	-2,27408	0,000228	-2,27392	0,000228	-1,33111
0,00023	-2,26813	0,00023	-2,27167	0,00023	-1,33659
0,000232	-2,26716	0,000232	-2,2707	0,000232	-1,34158
0,000234	-2,26893	0,000234	-2,27086	0,000234	-1,34786
0,000236	-2,26764	0,000236	-2,26925	0,000236	-1,35381
0,000238	-2,27505	0,000238	-2,27376	0,000238	-1,35848
0,00024	-2,267	0,00024	-2,27119	0,00024	-1,36347
0,000242	-2,26587	0,000242	-2,26958	0,000242	-1,36911
0,000244	-2,26491	0,000244	-2,26732	0,000244	-1,37329
0,000246	-2,26684	0,000246	-2,26764	0,000246	-1,37796
0,000248	-2,26378	0,000248	-2,26281	0,000248	-1,38295
0,00025	-2,26056	0,00025	-2,26442	0,00025	-1,38778
0,000252	-2,2612	0,000252	-2,26426	0,000252	-1,39213
0,000254	-2,26233	0,000254	-2,25863	0,000254	-1,3968
0,000256	-2,26056	0,000256	-2,26169	0,000256	-1,40115
0,000258	-2,26185	0,000258	-2,26185	0,000258	-1,40582
0,00026	-2,25831	0,00026	-2,2604	0,00026	-1,40984
0,000262	-2,25605	0,000262	-2,25879	0,000262	-1,41387
0,000264	-2,25541	0,000264	-2,25589	0,000264	-1,41773
0,000266	-2,25879	0,000266	-2,25798	0,000266	-1,42208
0,000268	-2,25943	0,000268	-2,25525	0,000268	-1,42562
0,00027	-2,25219	0,00027	-2,25605	0,00027	-1,42932
0,000272	-2,24929	0,000272	-2,25605	0,000272	-1,43303
0,000274	-2,25074	0,000274	-2,25154	0,000274	-1,43657
0,000276	-2,25026	0,000276	-2,25396	0,000276	-1,44091
0,000278	-2,25042	0,000278	-2,25315	0,000278	-1,44381
0,00028	-2,24897	0,00028	-2,25251	0,00028	-1,44784
0,000282	-2,24993	0,000282	-2,25332	0,000282	-1,45074
0,000284	-2,24832	0,000284	-2,25074	0,000284	-1,45428
0,000286	-2,24849	0,000286	-2,25026	0,000286	-1,45782
0,000288	-2,24736	0,000288	-2,24913	0,000288	-1,46072
0,00029	-2,24752	0,00029	-2,24849	0,00029	-1,46361
0,000292	-2,24768	0,000292	-2,24865	0,000292	-1,46716
0,000294	-2,24639	0,000294	-2,24913	0,000294	-1,46957
0,000296	-2,24849	0,000296	-2,24752	0,000296	-1,47376
0,000298	-2,24655	0,000298	-2,2451	0,000298	-1,47666
0,0003	-2,24591	0,0003	-2,24865	0,0003	-1,47923
0,000302	-2,24671	0,000302	-2,24527	0,000302	-1,48149
0,000304	-2,24462	0,000304	-2,24575	0,000304	-1,48454
0,000306	-2,2443	0,000306	-2,24559	0,000306	-1,48712
0,000308	-2,24205	0,000308	-2,24575	0,000308	-1,49002
0,00031	-2,24076	0,00031	-2,24591	0,00031	-1,49243
0,000312	-2,24156	0,000312	-2,24462	0,000312	-1,49469
0,000314	-2,23915	0,000314	-2,2406	0,000314	-1,49759
0,000316	-2,24188	0,000316	-2,2451	0,000316	-1,50032
0,000318	-2,24172	0,000318	-2,24172	0,000318	-1,50242
0,00032	-2,2406	0,00032	-2,24124	0,00032	-1,50483
0,000322	-2,23915	0,000322	-2,2414	0,000322	-1,50708
0,000324	-2,23609	0,000324	-2,23802	0,000324	-1,50853
0,000326	-2,23641	0,000326	-2,23963	0,000326	-1,51159
0,000328	-2,23754	0,000328	-2,24172	0,000328	-1,51336
0,00033	-2,23657	0,00033	-2,2385	0,00033	-1,51562
0,000332	-2,23689	0,000332	-2,2385	0,000332	-1,51803
0,000334	-2,23738	0,000334	-2,24156	0,000334	-1,51996
0,000336	-2,23995	0,000336	-2,24027	0,000336	-1,52222
0,000338	-2,23786	0,000338	-2,2377	0,000338	-1,52399
0,00034	-2,23609	0,00034	-2,23818	0,00034	-1,52608
0,000342	-2,23689	0,000342	-2,23705	0,000342	-1,52785
0,000344	-2,23448	0,000344	-2,23625	0,000344	-1,53011
0,000346	-2,23255	0,000346	-2,23866	0,000346	-1,53252
0,000348	-2,23367	0,000348	-2,23722	0,000348	-1,53381
0,00035	-2,23367	0,00035	-2,23738	0,00035	-1,53542
0,000352	-2,23094	0,000352	-2,23367	0,000352	-1,53687
0,000354	-2,23496	0,000354	-2,23255	0,000354	-1,53928
0,000356	-2,2377	0,000356	-2,23271	0,000356	-1,54025
0,000358	-2,23383	0,000358	-2,23383	0,000358	-1,54186
0,00036	-2,22933	0,00036	-2,2377	0,00036	-1,54363
0,000362	-2,23367	0,000362	-2,23464	0,000362	-1,5454
0,000364	-2,23255	0,000364	-2,23464	0,000364	-1,54717
0,000366	-2,23158	0,000366	-2,23367	0,000366	-1,54878
0,000368	-2,23142	0,000368	-2,23126	0,000368	-1,54991
0,00037	-2,23206	0,00037	-2,2311	0,00037	-1,55152
0,000372	-2,23239	0,000372	-2,23174	0,000372	-1,55281
0,000374	-2,22981	0,000374	-2,23126	0,000374	-1,55442
0,000376	-2,22981	0,000376	-2,23255	0,000376	-1,55603
0,000378	-2,22917	0,000378	-2,2319	0,000378	-1,55732
0,00038	-2,2282	0,00038	-2,2319	0,00038	-1,55844
0,000382	-2,22643	0,000382	-2,23383	0,000382	-1,55957
0,000384	-2,229	0,000384	-2,23351	0,000384	-1,56102
0,000386	-2,22514	0,000386	-2,22949	0,000386	-1,56215
0,000388	-2,22917	0,000388	-2,22836	0,000388	-1,56376
0,00039	-2,22611	0,00039	-2,23094	0,00039	-1,56537
0,000392	-2,22933	0,000392	-2,22933	0,000392	-1,56585
0,000394	-2,23045	0,000394	-2,23094	0,000394	-1,5681
0,000396	-2,22707	0,000396	-2,23078	0,000396	-1,56923
0,000398	-2,22884	0,000398	-2,23094	0,000398	-1,56987
0,0004	-2,22675	0,0004	-2,23142	0,0004	-1,571
0,000402	-2,2282	0,000402	-2,22933	0,000402	-1,57181
0,000404	-2,22756	0,000404	-2,229	0,000404	-1,57261
0,000406	-2,22546	0,000406	-2,22804	0,000406	-1,57358
0,000408	-2,22659	0,000408	-2,22965	0,000408	-1,57519
0,00041	-2,22917	0,00041	-2,22772	0,00041	-1,57599
0,000412	-2,22514	0,000412	-2,22917	0,000412	-1,5768
0,000414	-2,22675	0,000414	-2,23142	0,000414	-1,57809
0,000416	-2,22739	0,000416	-2,23078	0,000416	-1,57937
0,000418	-2,229	0,000418	-2,22659	0,000418	-1,58002
0,00042	-2,22739	0,00042	-2,22788	0,00042	-1,58082
0,000422	-2,22353	0,000422	-2,22739	0,000422	-1,58195
0,000424	-2,22884	0,000424	-2,22804	0,000424	-1,58275
0,000426	-2,2245	0,000426	-2,22643	0,000426	-1,58308
0,000428	-2,22498	0,000428	-2,22707	0,000428	-1,58436
0,00043	-2,22723	0,00043	-2,22788	0,00043	-1,58469
0,000432	-2,22707	0,000432	-2,2245	0,000432	-1,58613
0,000434	-2,22788	0,000434	-2,22305	0,000434	-1,58694
0,000436	-2,22659	0,000436	-2,22659	0,000436	-1,58742
0,000438	-2,22112	0,000438	-2,2253	0,000438	-1,58871
0,00044	-2,22546	0,00044	-2,22482	0,00044	-1,58903
0,000442	-2,22434	0,000442	-2,22321	0,000442	-1,58984
0,000444	-2,22305	0,000444	-2,22369	0,000444	-1,59064
0,000446	-2,22514	0,000446	-2,22337	0,000446	-1,59161
0,000448	-2,22353	0,000448	-2,22385	0,000448	-1,59193
0,00045	-2,22707	0,00045	-2,22595	0,00045	-1,59306
0,000452	-2,22627	0,000452	-2,2245	0,000452	-1,59338
0,000454	-2,22256	0,000454	-2,22627	0,000454	-1,59451
0,000456	-2,22273	0,000456	-2,22595	0,000456	-1,59499
0,000458	-2,22466	0,000458	-2,22514	0,000458	-1,59579
0,00046	-2,22256	0,00046	-2,22595	0,00046	-1,59644
0,000462	-2,22369	0,000462	-2,22611	0,000462	-1,59692
0,000464	-2,22273	0,000464	-2,22337	0,000464	-1,59757
0,000466	-2,22337	0,000466	-2,2253	0,000466	-1,59805
0,000468	-2,21902	0,000468	-2,2245	0,000468	-1,59869
0,00047	-2,22176	0,00047	-2,22305	0,00047	-1,59885
0,000472	-2,2216	0,000472	-2,22305	0,000472	-1,59982
0,000474	-2,22015	0,000474	-2,22417	0,000474	-1,60014
0,000476	-2,22192	0,000476	-2,22192	0,000476	-1,60046
0,000478	-2,22321	0,000478	-2,2245	0,000478	-1,60143
0,00048	-2,22095	0,00048	-2,22466	0,00048	-1,60191
0,000482	-2,2216	0,000482	-2,22337	0,000482	-1,60223
0,000484	-2,22353	0,000484	-2,22466	0,000484	-1,60272
0,000486	-2,2216	0,000486	-2,22385	0,000486	-1,60304
0,000488	-2,22176	0,000488	-2,22369	0,000488	-1,60401
0,00049	-2,22144	0,00049	-2,22224	0,00049	-1,60417
0,000492	-2,22289	0,000492	-2,22095	0,000492	-1,60481
0,000494	-2,22224	0,000494	-2,2216	0,000494	-1,60562
0,000496	-2,22256	0,000496	-2,21886	0,000496	-1,60578
0,000498	-2,20518	0,000498	-2,20824	0,000498	-1,53478
0,0005	2,75942	0,0005	0,978094	0,0005	-1,42852
0,000502	2,74879	0,000502	2,04215	0,000502	-1,31888
0,000504	2,73463	0,000504	2,45673	0,000504	-1,23645
0,000506	2,72593	0,000506	2,61661	0,000506	-1,16384
0,000508	2,71788	0,000508	2,67264	0,000508	-1,10089
0,00051	2,70532	0,00051	2,68842	0,00051	-1,03858
0,000512	2,69631	0,000512	2,69357	0,000512	-0,97595
0,000514	2,68697	0,000514	2,68713	0,000514	-0,920567
0,000516	2,67666	0,000516	2,68021	0,000516	-0,8647
0,000518	2,66684	0,000518	2,67055	0,000518	-0,808029
0,00052	2,65944	0,00052	2,66153	0,00052	-0,755704
0,000522	2,6501	0,000522	2,65219	0,000522	-0,702253
0,000524	2,64189	0,000524	2,64414	0,000524	-0,654436
0,000526	2,63287	0,000526	2,63641	0,000526	-0,605171
0,000528	2,62337	0,000528	2,62885	0,000528	-0,555583
0,00053	2,61709	0,00053	2,62063	0,00053	-0,511309
0,000532	2,60759	0,000532	2,61097	0,000532	-0,463814
0,000534	2,60228	0,000534	2,60276	0,000534	-0,421149
0,000536	2,5931	0,000536	2,59681	0,000536	-0,375104
0,000538	2,58505	0,000538	2,58892	0,000538	-0,333727
0,00054	2,57974	0,00054	2,58199	0,00054	-0,292834
0,000542	2,56702	0,000542	2,57056	0,000542	-0,253067
0,000544	2,56493	0,000544	2,56525	0,000544	-0,212656
0,000546	2,55527	0,000546	2,55961	0,000546	-0,174983
0,000548	2,54851	0,000548	2,55124	0,000548	-0,136021
0,00055	2,54029	0,00055	2,54432	0,00055	-0,0996352
0,000552	2,53546	0,000552	2,53868	0,000552	-0,0629275
0,000554	2,52902	0,000554	2,53112	0,000554	-0,0279908
0,000556	2,525	0,000556	2,52693	0,000556	0,00533595
0,000558	2,51598	0,000558	2,5155	0,000558	0,0409167
0,00056	2,51083	0,00056	2,5089	0,00056	0,0721504
0,000562	2,50375	0,000562	2,50391	0,000562	0,103867
0,000564	2,49763	0,000564	2,50036	0,000564	0,134135
0,000566	2,49441	0,000566	2,49312	0,000566	0,166979
0,000568	2,48732	0,000568	2,48861	0,000568	0,197408
0,00057	2,48716	0,00057	2,48475	0,00057	0,225582
0,000572	2,47863	0,000572	2,47943	0,000572	0,255367
0,000574	2,47203	0,000574	2,47444	0,000574	0,283864
0,000576	2,46511	0,000576	2,46913	0,000576	0,309463
0,000578	2,46108	0,000578	2,46575	0,000578	0,334901
0,00058	2,45738	0,00058	2,46027	0,00058	0,36372
0,000582	2,45126	0,000582	2,45383	0,000582	0,389157
0,000584	2,44836	0,000584	2,44868	0,000584	0,414595
0,000586	2,44256	0,000586	2,44434	0,000586	0,438906
0,000588	2,4379	0,000588	2,44047	0,000588	0,463378
0,00059	2,43516	0,00059	2,43484	0,00059	0,486884
0,000592	2,42727	0,000592	2,43033	0,000592	0,51039
0,000594	2,42968	0,000594	2,42421	0,000594	0,531964
0,000596	2,42083	0,000596	2,42131	0,000596	0,555309
0,000598	2,41777	0,000598	2,41825	0,000598	0,575916
0,0006	2,40924	0,0006	2,41278	0,0006	0,596846
0,000602	2,40827	0,000602	2,41197	0,000602	0,618098
0,000604	2,40779	0,000604	2,40698	0,000604	0,63774
0,000606	2,40473	0,000606	2,40328	0,000606	0,65706
0,000608	2,40151	0,000608	2,39781	0,000608	0,677024
0,00061	2,39346	0,00061	2,39668	0,00061	0,696988
0,000612	2,38863	0,000612	2,39394	0,000612	0,715342
0,000614	2,39104	0,000614	2,38863	0,000614	0,732086
0,000616	2,3867	0,000616	2,38654	0,000616	0,750923
0,000618	2,37977	0,000618	2,38187	0,000618	0,768794
0,00062	2,37768	0,00062	2,38042	0,00062	0,785216
0,000622	2,37768	0,000622	2,37559	0,000622	0,801477
0,000624	2,37269	0,000624	2,37301	0,000624	0,818704
0,000626	2,37156	0,000626	2,36882	0,000626	0,834804
0,000628	2,36319	0,000628	2,36512	0,000628	0,849777
0,00063	2,36287	0,00063	2,36206	0,00063	0,866843
0,000632	2,35916	0,000632	2,35997	0,000632	0,880045
0,000634	2,35965	0,000634	2,359	0,000634	0,894857
0,000636	2,35272	0,000636	2,35514	0,000636	0,910152
0,000638	2,35272	0,000638	2,35176	0,000638	0,923193
0,00064	2,34967	0,00064	2,34789	0,00064	0,937683
0,000642	2,35111	0,000642	2,34645	0,000642	0,95169
0,000644	2,3421	0,000644	2,34323	0,000644	0,963443
0,000646	2,34226	0,000646	2,33968	0,000646	0,976967
0,000648	2,33888	0,000648	2,33759	0,000648	0,99033
0,00065	2,33952	0,00065	2,33679	0,00065	1,00176
0,000652	2,33518	0,000652	2,33566	0,000652	1,01464
0,000654	2,33421	0,000654	2,33485	0,000654	1,02784
0,000656	2,32648	0,000656	2,33131	0,000656	1,03847
0,000658	2,33083	0,000658	2,3297	0,000658	1,0499
0,00066	2,32874	0,00066	2,32745	0,00066	1,06165
0,000662	2,32487	0,000662	2,32229	0,000662	1,07163
0,000664	2,32149	0,000664	2,32197	0,000664	1,08307
0,000666	2,32085	0,000666	2,3202	0,000666	1,09305
0,000668	2,31698	0,000668	2,31746	0,000668	1,10383
0,00067	2,31811	0,00067	2,31505	0,00067	1,11382
0,000672	2,31859	0,000672	2,31263	0,000672	1,12364
0,000674	2,31424	0,000674	2,31408	0,000674	1,13346
0,000676	2,31263	0,000676	2,31119	0,000676	1,14408
0,000678	2,31634	0,000678	2,30958	0,000678	1,15326
0,00068	2,30684	0,00068	2,30732	0,00068	1,16147
0,000682	2,30861	0,000682	2,30603	0,000682	1,17129
0,000684	2,30764	0,000684	2,30619	0,000684	1,17983
0,000686	2,30539	0,000686	2,3033	0,000686	1,18868
0,000688	2,30104	0,000688	2,30088	0,000688	1,19802
0,00069	2,29959	0,00069	2,30056	0,00069	1,20655
0,000692	2,29992	0,000692	2,2967	0,000692	1,21412
0,000694	2,29734	0,000694	2,29702	0,000694	1,22185
0,000696	2,29605	0,000696	2,29541	0,000696	1,23022
0,000698	2,29428	0,000698	2,29718	0,000698	1,2373
0,0007	2,29138	0,0007	2,29283	0,0007	1,24439
0,000702	2,29428	0,000702	2,29042	0,000702	1,25196
0,000704	2,28929	0,000704	2,2872	0,000704	1,26033
0,000706	2,29058	0,000706	2,28848	0,000706	1,26661
0,000708	2,28784	0,000708	2,28768	0,000708	1,27369
0,00071	2,28623	0,00071	2,28526	0,00071	1,28029
0,000712	2,28382	0,000712	2,28221	0,000712	1,28673
0,000714	2,28446	0,000714	2,28221	0,000714	1,29365
0,000716	2,28478	0,000716	2,2814	0,000716	1,30009
0,000718	2,28011	0,000718	2,27931	0,000718	1,30621
0,00072	2,28043	0,00072	2,27464	0,00072	1,31265
0,000722	2,28156	0,000722	2,27544	0,000722	1,3178
0,000724	2,27721	0,000724	2,27609	0,000724	1,32424
0,000726	2,2756	0,000726	2,27641	0,000726	1,3294
0,000728	2,2777	0,000728	2,27496	0,000728	1,33519
0,00073	2,27528	0,00073	2,27464	0,00073	1,34228
0,000732	2,27271	0,000732	2,27383	0,000732	1,34662
0,000734	2,26916	0,000734	2,26884	0,000734	1,35258
0,000736	2,27142	0,000736	2,27206	0,000736	1,35838
0,000738	2,27254	0,000738	2,27045	0,000738	1,3624
0,00074	2,26949	0,00074	2,269	0,00074	1,36804
0,000742	2,26997	0,000742	2,26739	0,000742	1,37287
0,000744	2,2682	0,000744	2,26643	0,000744	1,37737
0,000746	2,26546	0,000746	2,26449	0,000746	1,38237
0,000748	2,26916	0,000748	2,2653	0,000748	1,38752
0,00075	2,26498	0,00075	2,26401	0,00075	1,39235
0,000752	2,26546	0,000752	2,26578	0,000752	1,39653
0,000754	2,2661	0,000754	2,26578	0,000754	1,40088
0,000756	2,2653	0,000756	2,26337	0,000756	1,40426
0,000758	2,26305	0,000758	2,26224	0,000758	1,40974
0,00076	2,2616	0,00076	2,26305	0,00076	1,41376
0,000762	2,26272	0,000762	2,25983	0,000762	1,41714
0,000764	2,25741	0,000764	2,25789	0,000764	1,42229
0,000766	2,25886	0,000766	2,25644	0,000766	1,42551
0,000768	2,26079	0,000768	2,25773	0,000768	1,42986
0,00077	2,25789	0,00077	2,25773	0,00077	1,4334
0,000772	2,25467	0,000772	2,25564	0,000772	1,43727
0,000774	2,255	0,000774	2,25693	0,000774	1,44081
0,000776	2,2529	0,000776	2,2529	0,000776	1,44419
0,000778	2,25548	0,000778	2,25467	0,000778	1,44693
0,00078	2,25339	0,00078	2,25355	0,00078	1,45176
0,000782	2,25435	0,000782	2,25017	0,000782	1,4553
0,000784	2,25081	0,000784	2,25049	0,000784	1,45755
0,000786	2,25161	0,000786	2,24936	0,000786	1,46029
0,000788	2,25	0,000788	2,25033	0,000788	1,46431
0,00079	2,25226	0,00079	2,25113	0,00079	1,46802
0,000792	2,25	0,000792	2,24968	0,000792	1,47011
0,000794	2,25145	0,000794	2,25097	0,000794	1,47349
0,000796	2,24968	0,000796	2,25065	0,000796	1,47639
0,000798	2,25226	0,000798	2,24807	0,000798	1,47929
0,0008	2,24839	0,0008	2,24759	0,0008	1,48251
0,000802	2,24872	0,000802	2,24646	0,000802	1,48525
0,000804	2,24904	0,000804	2,24566	0,000804	1,48766
0,000806	2,24888	0,000806	2,24453	0,000806	1,49056
0,000808	2,24791	0,000808	2,24421	0,000808	1,4933
0,00081	2,24936	0,00081	2,24421	0,00081	1,49619
0,000812	2,2455	0,000812	2,24389	0,000812	1,49893
0,000814	2,24695	0,000814	2,24099	0,000814	1,50118
0,000816	2,24711	0,000816	2,24373	0,000816	1,50328
0,000818	2,24421	0,000818	2,24163	0,000818	1,50601
0,00082	2,24405	0,00082	2,24195	0,00082	1,50827
0,000822	2,24179	0,000822	2,24018	0,000822	1,51036
0,000824	2,2426	0,000824	2,24083	0,000824	1,51294
0,000826	2,24163	0,000826	2,24067	0,000826	1,51519
0,000828	2,23954	0,000828	2,24195	0,000828	1,5168
0,00083	2,24389	0,00083	2,24179	0,00083	1,51906
0,000832	2,24228	0,000832	2,24179	0,000832	1,52115
0,000834	2,24389	0,000834	2,24051	0,000834	1,5234
0,000836	2,24373	0,000836	2,23986	0,000836	1,52566
0,000838	2,24212	0,000838	2,23632	0,000838	1,52743
0,00084	2,23986	0,00084	2,23648	0,00084	1,52952
0,000842	2,23825	0,000842	2,23712	0,000842	1,53097
0,000844	2,23906	0,000844	2,23584	0,000844	1,53387
