Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,42739	0	-0,267396	0	-3,19308
2,00E-06	-1,9896	2,00E-06	-1,31695	2,00E-06	-2,25815
4,00E-06	-2,1353	4,00E-06	-1,81314	4,00E-06	-1,60787
6,00E-06	-2,23496	6,00E-06	-2,07123	6,00E-06	-1,16206
8,00E-06	-2,31337	8,00E-06	-2,21677	8,00E-06	-0,847473
1,00E-05	-2,3628	1,00E-05	-2,30371	1,00E-05	-0,624651
1,20E-05	-2,40047	1,20E-05	-2,36247	1,20E-05	-0,473474
1,40E-05	-2,4272	1,40E-05	-2,40176	1,40E-05	-0,359165
1,60E-05	-2,44185	1,60E-05	-2,43009	1,60E-05	-0,282691
1,80E-05	-2,46197	1,80E-05	-2,44845	1,80E-05	-0,232459
2,00E-05	-2,46922	2,00E-05	-2,46197	2,00E-05	-0,193336
2,20E-05	-2,47711	2,20E-05	-2,4763	2,20E-05	-0,166611
2,40E-05	-2,48435	2,40E-05	-2,4829	2,40E-05	-0,142461
2,60E-05	-2,4916	2,60E-05	-2,48612	2,60E-05	-0,133767
2,80E-05	-2,48982	2,80E-05	-2,48902	2,80E-05	-0,122175
3,00E-05	-2,49079	3,00E-05	-2,49449	3,00E-05	-0,11493
3,20E-05	-2,49304	3,20E-05	-2,49546	3,20E-05	-0,109778
3,40E-05	-2,49288	3,40E-05	-2,49643	3,40E-05	-0,107041
3,60E-05	-2,49272	3,60E-05	-2,50158	3,60E-05	-0,103338
3,80E-05	-2,49965	3,80E-05	-2,50351	3,80E-05	-0,101567
4,00E-05	-2,49659	4,00E-05	-2,50077	4,00E-05	-0,0996352
4,20E-05	-2,49594	4,20E-05	-2,49771	4,20E-05	-0,0943223
4,40E-05	-2,49594	4,40E-05	-2,50158	4,40E-05	-0,0985082
4,60E-05	-2,499	4,60E-05	-2,49916	4,60E-05	-0,0962542
4,80E-05	-2,49787	4,80E-05	-2,49997	4,80E-05	-0,0946443
5,00E-05	1,67957	5,00E-05	0,270179	5,00E-05	3,13682
