Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,60046	0	0,347781	0	-3,16152
2,00E-06	-2,05609	2,00E-06	0,308497	2,00E-06	-2,19713
4,00E-06	-2,19938	4,00E-06	0,263578	4,00E-06	-1,5293
6,00E-06	-2,2926	6,00E-06	0,215761	6,00E-06	-1,06788
8,00E-06	-2,36296	8,00E-06	0,17519	8,00E-06	-0,746688
1,00E-05	-2,40369	1,00E-05	0,133974	1,00E-05	-0,52451
1,20E-05	-2,43508	1,20E-05	0,0951733	1,20E-05	-0,365927
1,40E-05	-2,4573	1,40E-05	0,0537966	1,40E-05	-0,25516
1,60E-05	-2,47228	1,60E-05	0,0159619	1,60E-05	-0,18094
1,80E-05	-2,47533	1,80E-05	-0,0221948	1,80E-05	-0,124107
2,00E-05	-2,48065	2,00E-05	-0,0574536	2,00E-05	-0,0865943
2,20E-05	-2,48274	2,20E-05	-0,0909413	2,20E-05	-0,0616395
2,40E-05	-2,48242	2,40E-05	-0,1262	2,40E-05	-0,0426417
2,60E-05	-2,4763	2,60E-05	-0,158561	2,60E-05	-0,0299228
2,80E-05	-2,47517	2,80E-05	-0,19237	2,80E-05	-0,0207458
3,00E-05	-2,4726	3,00E-05	-0,225214	3,00E-05	-0,0122129
3,20E-05	-2,4668	3,20E-05	-0,257736	3,20E-05	-0,0135009
3,40E-05	-2,46342	3,40E-05	-0,287038	3,40E-05	-0,00915394
3,60E-05	-2,45714	3,60E-05	-0,316178	3,60E-05	-0,00834895
3,80E-05	-2,45457	3,80E-05	-0,34548	3,80E-05	-0,00577297
4,00E-05	-2,45102	4,00E-05	-0,374299	4,00E-05	-0,00545097
4,20E-05	-2,44603	4,20E-05	-0,401669	4,20E-05	-0,00754395
4,40E-05	-2,43975	4,40E-05	-0,427589	4,40E-05	-0,00609496
4,60E-05	-2,43557	4,60E-05	-0,455281	4,60E-05	-0,00883194
4,80E-05	-2,43267	4,80E-05	-0,479109	4,80E-05	-0,00899294
5,00E-05	1,78261	5,00E-05	-0,337752	5,00E-05	3,11637
5,20E-05	2,06437	5,20E-05	-0,292351	5,20E-05	2,16161
5,40E-05	2,20283	5,40E-05	-0,249525	5,40E-05	1,50601
5,60E-05	2,3012	5,60E-05	-0,203479	5,60E-05	1,05312
5,80E-05	2,36915	5,80E-05	-0,163391	5,80E-05	0,740458
6,00E-05	2,41213	6,00E-05	-0,120887	6,00E-05	0,517635
6,20E-05	2,4424	6,20E-05	-0,0819254	6,20E-05	0,360983
6,40E-05	2,46333	6,40E-05	-0,0426417	6,40E-05	0,255367
6,60E-05	2,47428	6,60E-05	-0,00432398	6,60E-05	0,177444
6,80E-05	2,4796	6,80E-05	0,0322227	6,80E-05	0,122543
7,00E-05	2,48475	7,00E-05	0,0692525	7,00E-05	0,0869623
7,20E-05	2,48443	7,20E-05	0,103867	7,20E-05	0,0603975
7,40E-05	2,48426	7,40E-05	0,138643	7,40E-05	0,0433317
7,60E-05	2,47976	7,60E-05	0,172453	7,60E-05	0,0301298
7,80E-05	2,47815	7,80E-05	0,206584	7,80E-05	0,0190208
8,00E-05	2,4738	8,00E-05	0,235886	8,00E-05	0,0119369
8,20E-05	2,46607	8,20E-05	0,268247	8,20E-05	0,0114539
8,40E-05	2,46462	8,40E-05	0,297549	8,40E-05	0,0100049
8,60E-05	2,45915	8,60E-05	0,326368	8,60E-05	0,00597994
8,80E-05	2,45496	8,80E-05	0,356314	8,80E-05	0,00726793
9,00E-05	2,45061	9,00E-05	0,384327	9,00E-05	0,00597994
9,20E-05	2,44788	9,20E-05	0,411375	9,20E-05	0,00597994
9,40E-05	2,44079	9,40E-05	0,43794	9,40E-05	0,00597994
9,60E-05	2,43693	9,60E-05	0,464666	9,60E-05	0,00791193
9,80E-05	2,43178	9,80E-05	0,48946	9,80E-05	0,00646294
