Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,70044	0	1,47703	0	-3,10098
2,00E-06	-2,24349	2,00E-06	1,41151	2,00E-06	-2,15269
4,00E-06	-2,3921	4,00E-06	1,34083	4,00E-06	-1,48599
6,00E-06	-2,48805	6,00E-06	1,27466	6,00E-06	-1,02699
8,00E-06	-2,54891	8,00E-06	1,20736	8,00E-06	-0,705956
1,00E-05	-2,59238	1,00E-05	1,1465	1,00E-05	-0,483295
1,20E-05	-2,62168	1,20E-05	1,08371	1,20E-05	-0,326643
1,40E-05	-2,6365	1,40E-05	1,02285	1,40E-05	-0,216198
1,60E-05	-2,6476	1,60E-05	0,965053	1,60E-05	-0,140851
1,80E-05	-2,64777	1,80E-05	0,908381	1,80E-05	-0,0867553
2,00E-05	-2,6476	2,00E-05	0,852353	2,00E-05	-0,0479546
2,20E-05	-2,64648	2,20E-05	0,798096	2,20E-05	-0,0209068
2,40E-05	-2,64197	2,40E-05	0,745449	2,40E-05	-0,00448498
2,60E-05	-2,64036	2,60E-05	0,695861	2,60E-05	0,00646294
2,80E-05	-2,6315	2,80E-05	0,646273	2,80E-05	0,0141909
3,00E-05	-2,62539	3,00E-05	0,595397	3,00E-05	0,0195038
3,20E-05	-2,61685	3,20E-05	0,549996	3,20E-05	0,0246558
3,40E-05	-2,60752	3,40E-05	0,504111	3,40E-05	0,0248168
3,60E-05	-2,60091	3,60E-05	0,457743	3,60E-05	0,0275538
3,80E-05	-2,59238	3,80E-05	0,414112	3,80E-05	0,0246558
4,00E-05	-2,58997	4,00E-05	0,369515	4,00E-05	0,0285198
4,20E-05	-2,57805	4,20E-05	0,328944	4,20E-05	0,0240118
4,40E-05	-2,57242	4,40E-05	0,28483	4,40E-05	0,0243338
4,60E-05	-2,5634	4,60E-05	0,245707	4,60E-05	0,0248168
4,80E-05	-2,55487	4,80E-05	0,207228	4,80E-05	0,0252998
5,00E-05	-2,55068	5,00E-05	0,167462	5,00E-05	0,0183768
5,20E-05	-2,54456	5,20E-05	0,129144	5,20E-05	0,0185378
5,40E-05	-2,53458	5,40E-05	0,0922753	5,40E-05	0,0182158
5,60E-05	-2,53056	5,60E-05	0,0584655	5,60E-05	0,0172499
5,80E-05	-2,52363	5,80E-05	0,0230458	5,80E-05	0,0159619
6,00E-05	-2,51703	6,00E-05	-0,0110859	6,00E-05	0,0129029
6,20E-05	-2,51092	6,20E-05	-0,0448957	6,20E-05	0,0132249
6,40E-05	-2,50866	6,40E-05	-0,0774174	6,40E-05	0,00984391
6,60E-05	-2,50061	6,60E-05	-0,107685	6,60E-05	0,0119369
6,80E-05	-2,49079	6,80E-05	-0,142622	6,80E-05	0,00903892
7,00E-05	-2,49031	7,00E-05	-0,17128	7,00E-05	0,00469195
7,20E-05	-2,48274	7,20E-05	-0,201064	7,20E-05	0,00275997
7,40E-05	-2,47662	7,40E-05	-0,230849	7,40E-05	0,00356496
7,60E-05	-2,47276	7,60E-05	-0,258863	7,60E-05	0,00243797
7,80E-05	-2,46777	7,80E-05	-0,289292	7,80E-05	-0,001265
8,00E-05	-2,46165	8,00E-05	-0,315373	8,00E-05	0,000505984
8,20E-05	-2,45698	8,20E-05	-0,34226	8,20E-05	0,000505984
8,40E-05	-2,45199	8,40E-05	-0,368664	8,40E-05	-0,001909
8,60E-05	-2,44764	8,60E-05	-0,394424	8,60E-05	0,000183987
8,80E-05	-2,44362	8,80E-05	-0,420183	8,80E-05	-0,00545097
9,00E-05	-2,43911	9,00E-05	-0,444172	9,00E-05	-0,00432398
9,20E-05	-2,43364	9,20E-05	-0,466712	9,20E-05	-0,00770495
9,40E-05	-2,43219	9,40E-05	-0,49215	9,40E-05	-0,00883194
9,60E-05	-2,42784	9,60E-05	-0,515656	9,60E-05	-0,00770495
9,80E-05	-2,42124	9,80E-05	-0,538195	9,80E-05	-0,0125349
1,00E-04	-2,41641	1,00E-04	-0,560896	1,00E-04	-0,0128569
0,000102	-2,41544	0,000102	-0,58086	0,000102	-0,0110859
0,000104	-2,41029	0,000104	-0,602434	0,000104	-0,0126959
0,000106	-2,40482	0,000106	-0,623042	0,000106	-0,00979794
0,000108	-2,40546	0,000108	-0,642844	0,000108	-0,0138229
0,00011	-2,39983	0,00011	-0,662808	0,00011	-0,0143059
0,000112	-2,39612	0,000112	-0,681806	0,000112	-0,0159159
0,000114	-2,39129	0,000114	-0,702253	0,000114	-0,0165599
0,000116	-2,38678	0,000116	-0,720124	0,000116	-0,0160769
0,000118	-2,38807	0,000118	-0,738638	0,000118	-0,0184919
0,00012	-2,38195	0,00012	-0,75667	0,00012	-0,0197799
0,000122	-2,37825	0,000122	-0,774058	0,000122	-0,0202629
0,000124	-2,3731	0,000124	-0,790802	0,000124	-0,0212288
0,000126	-2,37004	0,000126	-0,807868	0,000126	-0,0207458
0,000128	-2,36843	0,000128	-0,822358	0,000128	-0,0258978
0,00013	-2,36231	0,00013	-0,840067	0,00013	-0,0238048
0,000132	-2,3628	0,000132	-0,855201	0,000132	-0,0268638
0,000134	-2,3599	0,000134	-0,870818	0,000134	-0,0265418
0,000136	-2,35619	0,000136	-0,885791	0,000136	-0,0260588
0,000138	-2,35056	0,000138	-0,90012	0,000138	-0,0297618
0,00014	-2,34959	0,00014	-0,914932	0,00014	-0,0250928
0,000142	-2,3475	0,000142	-0,929261	0,000142	-0,0291178
0,000144	-2,34734	0,000144	-0,942945	0,000144	-0,0296008
0,000146	-2,34428	0,000146	-0,956791	0,000146	-0,0287958
0,000148	-2,34283	0,000148	-0,970637	0,000148	-0,0329818
0,00015	-2,33768	0,00015	-0,983195	0,00015	-0,0312108
0,000152	-2,33623	0,000152	-0,996075	0,000152	-0,0299228
0,000154	-2,33204	0,000154	-1,00751	0,000154	-0,0333038
0,000156	-2,3306	0,000156	-1,01974	0,000156	-0,0326598
0,000158	-2,32866	0,000158	-1,03262	0,000158	-0,0326598
0,00016	-2,32786	0,00016	-1,04486	0,00016	-0,0336257
0,000162	-2,32528	0,000162	-1,055	0,000162	-0,0345917
0,000164	-2,32367	0,000164	-1,06659	0,000164	-0,0341087
0,000166	-2,32094	0,000166	-1,07835	0,000166	-0,0341087
0,000168	-2,31933	0,000168	-1,08849	0,000168	-0,0336257
0,00017	-2,3182	0,00017	-1,09944	0,00017	-0,0347527
0,000172	-2,31482	0,000172	-1,10942	0,000172	-0,0350747
0,000174	-2,31289	0,000174	-1,11972	0,000174	-0,0382947
0,000176	-2,30983	0,000176	-1,13051	0,000176	-0,0384557
0,000178	-2,3095	0,000178	-1,13952	0,000178	-0,0386167
0,00018	-2,30741	0,00018	-1,14918	0,00018	-0,0378117
0,000182	-2,30854	0,000182	-1,15901	0,000182	-0,0403877
0,000184	-2,30403	0,000184	-1,1685	0,000184	-0,0378117
0,000186	-2,30226	0,000186	-1,17688	0,000186	-0,0366847
0,000188	-2,30194	0,000188	-1,18638	0,000188	-0,0371677
0,00019	-2,29791	0,00019	-1,19475	0,00019	-0,0402267
0,000192	-2,2984	0,000192	-1,2036	0,000192	-0,0395827
0,000194	-2,29518	0,000194	-1,21101	0,000194	-0,0403877
0,000196	-2,2963	0,000196	-1,22002	0,000196	-0,0411927
0,000198	-2,29373	0,000198	-1,22743	0,000198	-0,0428027
0,0002	-2,29292	0,0002	-1,235	0,0002	-0,0407097
0,000202	-2,29083	0,000202	-1,24256	0,000202	-0,0421587
0,000204	-2,29035	0,000204	-1,2511	0,000204	-0,0424807
0,000206	-2,28696	0,000206	-1,25738	0,000206	-0,0442517
0,000208	-2,28938	0,000208	-1,26526	0,000208	-0,0452177
0,00021	-2,28374	0,00021	-1,27219	0,00021	-0,0445737
0,000212	-2,28407	0,000212	-1,27927	0,000212	-0,0444127
0,000214	-2,28374	0,000214	-1,28619	0,000214	-0,0466666
0,000216	-2,28149	0,000216	-1,29263	0,000216	-0,0444127
0,000218	-2,28085	0,000218	-1,2994	0,000218	-0,0434467
