Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-2,20035	0	-0,949385	0	1,47655
2,00E-06	-2,75547	2,00E-06	-2,03291	2,00E-06	1,36771
4,00E-06	-2,74372	4,00E-06	-2,45505	4,00E-06	1,28303
6,00E-06	-2,72666	6,00E-06	-2,61718	6,00E-06	1,2109
8,00E-06	-2,7141	8,00E-06	-2,67562	8,00E-06	1,1465
1,00E-05	-2,70701	1,00E-05	-2,6922	1,00E-05	1,07952
1,20E-05	-2,69687	1,20E-05	-2,69655	1,20E-05	1,02301
1,40E-05	-2,69011	1,40E-05	-2,69365	1,40E-05	0,961189
1,60E-05	-2,68206	1,60E-05	-2,6848	1,60E-05	0,905644
1,80E-05	-2,67127	1,80E-05	-2,67852	1,80E-05	0,848972
2,00E-05	-2,66081	2,00E-05	-2,67433	2,00E-05	0,796325
2,20E-05	-2,65823	2,20E-05	-2,66531	2,20E-05	0,744805
2,40E-05	-2,64664	2,40E-05	-2,65517	2,40E-05	0,692158
2,60E-05	-2,63682	2,60E-05	-2,64873	2,60E-05	0,642892
2,80E-05	-2,62989	2,80E-05	-2,6402	2,80E-05	0,593787
3,00E-05	-2,62088	3,00E-05	-2,62909	3,00E-05	0,546293
3,20E-05	-2,61379	3,20E-05	-2,61975	3,20E-05	0,498798
3,40E-05	-2,60462	3,40E-05	-2,6117	3,40E-05	0,455167
3,60E-05	-2,59544	3,60E-05	-2,60269	3,60E-05	0,411536
3,80E-05	-2,58852	3,80E-05	-2,59496	3,80E-05	0,365813
4,00E-05	-2,58208	4,00E-05	-2,58707	4,00E-05	0,325563
4,20E-05	-2,57548	4,20E-05	-2,57757	4,20E-05	0,284186
4,40E-05	-2,5634	4,40E-05	-2,5729	4,40E-05	0,24458
4,60E-05	-2,55648	4,60E-05	-2,56517	4,60E-05	0,204814
4,80E-05	-2,54972	4,80E-05	-2,55583	4,80E-05	0,167623
5,00E-05	-2,54456	5,00E-05	-2,55326	5,00E-05	0,130754
5,20E-05	-2,53684	5,20E-05	-2,54569	5,20E-05	0,0914703
5,40E-05	-2,5304	5,40E-05	-2,53716	5,40E-05	0,0555676
5,60E-05	-2,52669	5,60E-05	-2,53313	5,60E-05	0,0230458
5,80E-05	-2,51816	5,80E-05	-2,52524	5,80E-05	-0,0106029
6,00E-05	-2,51558	6,00E-05	-2,51897	6,00E-05	-0,0457007
6,20E-05	-2,50592	6,20E-05	-2,51108	6,20E-05	-0,0788664
6,40E-05	-2,50206	6,40E-05	-2,50753	6,40E-05	-0,111227
6,60E-05	-2,49337	6,60E-05	-2,50158	6,60E-05	-0,14069
6,80E-05	-2,49063	6,80E-05	-2,49707	6,80E-05	-0,172729
7,00E-05	-2,48467	7,00E-05	-2,49015	7,00E-05	-0,199454
7,20E-05	-2,48	7,20E-05	-2,48516	7,20E-05	-0,2294
7,40E-05	-2,47469	7,40E-05	-2,48016	7,40E-05	-0,259024
7,60E-05	-2,46809	7,60E-05	-2,47421	7,60E-05	-0,286233
7,80E-05	-2,4573	7,80E-05	-2,46954	7,80E-05	-0,314407
8,00E-05	-2,45956	8,00E-05	-2,46294	8,00E-05	-0,340972
8,20E-05	-2,45102	8,20E-05	-2,45634	8,20E-05	-0,36641
8,40E-05	-2,44668	8,40E-05	-2,45489	8,40E-05	-0,392331
8,60E-05	-2,44394	8,60E-05	-2,45022	8,60E-05	-0,418251
8,80E-05	-2,43975	8,80E-05	-2,44539	8,80E-05	-0,439986
9,00E-05	-2,43364	9,00E-05	-2,44056	9,00E-05	-0,467034
9,20E-05	-2,43138	9,20E-05	-2,43653	9,20E-05	-0,487481
9,40E-05	-2,42945	9,40E-05	-2,43154	9,40E-05	-0,513402
9,60E-05	-2,42462	9,60E-05	-2,42623	9,60E-05	-0,534492
9,80E-05	-2,41609	9,80E-05	-2,42381	9,80E-05	-0,556549
1,00E-04	-2,41367	1,00E-04	-2,41979	1,00E-04	-0,578123
