Frequency - Plot 0	Amplitude - Plot 0
1033,56	0,0666316
1012,85	0,0686958
2000,17	0,14403
1999,8	0,144037
2000,11	0,143915
2001,13	0,144032
3000,59	0,218614
2999,43	0,218694
2999,69	0,21876
4000,35	0,292636
3999,64	0,292422
4000,56	0,292409
4000,36	0,292675
5000,08	0,36497
4999,88	0,365053
5000,45	0,365195
5999,78	0,43592
6000,49	0,436085
5999,9	0,435992
7000,29	0,505065
6999,81	0,505079
7000,39	0,505226
7000,02	0,505243
8000,12	0,572313
8000,35	0,572251
8000,04	0,572226
8999,93	0,637595
8999,8	0,637617
8999,95	0,637655
9000,04	0,637576
10000,1	0,700924
9999,89	0,700848
10000,1	0,700713
11000,1	0,761829
11000,4	0,761751
11000,1	0,761732
11000,2	0,761601
12000,2	0,820346
12000,1	0,820408
12000,1	0,820295
13000,2	0,87697
13000,2	0,876827
12999,9	0,876652
13000,1	0,876963
14000,2	0,931015
14000,3	0,931093
14000	0,930821
15000,1	0,983137
15000,1	0,982944
15000,2	0,983017
15000,2	0,983066
16000,3	1,03241
16000	1,03252
16000,3	1,03274
17000,2	1,08014
17000,2	1,08011
17000,1	1,08
18000,3	1,1253
18000,3	1,12544
18000,2	1,12534
18000,3	1,12529
19000,2	1,16858
19000,2	1,16844
19000,2	1,16872
20000,2	1,20957
20000,1	1,20972
20000,2	1,20966
20000	1,20978
21000,2	1,24855
21000,2	1,24848
21000,3	1,24891
22000,3	1,28576
22000,3	1,2859
22000,3	1,2859
22000,3	1,28574
23000,1	1,32121
23000,2	1,3213
23000,2	1,32121
24000,3	1,35471
24000,2	1,35474
24000,3	1,35484
24000,2	1,35497
25000,2	1,38667
25000,3	1,38644
25000,3	1,38664
26000,1	1,41696
26000,3	1,41677
26000,1	1,41689
26000,3	1,41697
27000,3	1,44553
27000,3	1,4458
27000,3	1,44578
28000,4	1,47297
28000,3	1,47278
28000,3	1,47284
29000,4	1,49884
29000,4	1,49866
29000,3	1,49878
29000,3	1,49892
30000,2	1,52331
30000,2	1,52325
30000,3	1,52352
31000,3	1,54682
31000,3	1,54679
31000,4	1,54683
31000,3	1,5466
32000,5	1,56891
32000,5	1,56887
32000,4	1,56874
33000,2	1,58979
33000,3	1,58991
33000,1	1,58958
34000,4	1,60988
34000,3	1,60967
34000,4	1,60998
35000,5	1,62895
35000,5	1,62888
35000,5	1,62905
35000,4	1,62874
36000,5	1,64718
36000,4	1,64705
36000,5	1,647
37000,4	1,6642
37000,3	1,6642
37000,3	1,66409
38000,5	1,68073
38000,4	1,68029
38000,5	1,68074
38000,3	1,68034
39000,6	1,69602
39000,5	1,69595
39000,5	1,69599
40000,3	1,71085
40000,3	1,71102
40000,4	1,71096
40000,3	1,71071
41000,4	1,72494
41000,5	1,72507
41000,5	1,72509
42000,6	1,73841
42000,5	1,73846
42000,6	1,73839
43000,3	1,75114
43000,4	1,75103
43000,4	1,75107
43000,3	1,75109
44000,5	1,76358
44000,4	1,76338
44000,4	1,76325
45000,5	1,77509
45000,5	1,77508
45000,5	1,77522
45000,5	1,77496
46000,4	1,78619
46000,7	1,78623
46000,5	1,78624
47000,5	1,79681
47000,3	1,79684
47000,4	1,79689
47000,5	1,79685
48000,5	1,80693
48000,4	1,80698
48000,5	1,80712
49000,5	1,81645
49000,6	1,81681
49000,5	1,81669
49000,6	1,81693
50000,4	1,82597
50000,5	1,82583
50000,5	1,82612
