Frequency - Plot 0	Amplitude - Plot 0
256,129	0,334607
202,346	1,59299
202,408	1,59213
202,424	1,59192
202,441	1,59165
300,443	1,60218
300,444	1,60213
300,44	1,6021
399,924	1,5818
399,922	1,58195
399,929	1,58185
499,942	1,55488
499,939	1,55496
499,94	1,55493
599,962	1,52437
599,958	1,52446
599,962	1,52453
699,988	1,49123
699,987	1,49125
699,987	1,49131
800,018	1,45597
800,014	1,45608
800,011	1,45619
900,041	1,41945
900,039	1,41957
900,042	1,41964
900,04	1,41981
1000,06	1,38238
1000,06	1,38241
1000,07	1,38246
1100,09	1,34481
1100,09	1,345
1100,09	1,34503
1199,93	1,30748
1199,93	1,30769
1199,93	1,3078
1299,95	1,27065
1299,95	1,27087
1299,95	1,27091
1399,97	1,23453
1399,98	1,23468
1399,98	1,2348
1500	1,19925
1500	1,19936
1500	1,19951
1600,03	1,16495
1600,03	1,16519
1600,03	1,16517
1600,03	1,1653
1700,06	1,13196
1700,05	1,13204
1700,05	1,13205
1800,08	1,09984
1800,08	1,09999
1800,08	1,10006
1900,1	1,06889
1900,1	1,06904
1900,11	1,06908
1999,93	1,03922
1999,94	1,03939
1999,94	1,03942
2099,97	1,01066
2099,97	1,01084
2099,97	1,01097
2199,99	0,983291
2199,99	0,983519
2200	0,983562
2300,02	0,957047
2300,02	0,957207
2300,02	0,957258
2400,04	0,931822
2400,04	0,932068
2400,04	0,932081
2500,07	0,907693
2500,07	0,907915
2500,07	0,908015
2500,07	0,908086
2600,09	0,884607
2600,09	0,884812
2600,09	0,884902
2700,12	0,862427
2700,12	0,862634
2700,12	0,862686
2799,95	0,841225
2799,95	0,841415
2799,95	0,841551
2899,98	0,820907
2899,98	0,821068
2899,98	0,821169
3000,01	0,801338
3000	0,801519
3000,01	0,801607
3100,03	0,782545
3100,04	0,782779
3100,04	0,782896
3100,03	0,782958
3200,06	0,76485
3200,05	0,764879
3200,06	0,764949
3300,08	0,747438
3300,08	0,74763
3300,08	0,747681
3400,11	0,730901
3400,11	0,731075
3400,11	0,731164
3499,95	0,715017
3499,95	0,715153
3499,95	0,715259
3599,97	0,69975
3599,98	0,699885
3599,97	0,699948
3700	0,685011
3700	0,685197
3700	0,68521
3700	0,685272
3800,02	0,671009
3800,02	0,671052
3800,02	0,671099
3900,05	0,657225
3900,05	0,657409
3900,05	0,657467
4000,08	0,644126
4000,08	0,644297
4000,08	0,644337
4100,1	0,631455
4100,1	0,631607
4100,1	0,631646
4200,12	0,619228
4200,12	0,619406
4200,11	0,619457
4299,96	0,607506
4299,96	0,607665
4299,96	0,607708
4399,98	0,596182
4399,98	0,59629
4399,99	0,59636
4488,39	0,585234
4500,01	0,585327
4500,01	0,585353
4500,01	0,585412
4600,03	0,574628
4600,03	0,574741
4600,04	0,574792
4700,06	0,564412
4700,07	0,564543
