Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0	-0,0306889	0	0,0798796	0	0,00729383
2,00E-05	-0,0557962	2,00E-05	0,0604053	2,00E-05	0,00648911
4,00E-05	-0,0903991	4,00E-05	0,0393217	4,00E-05	0,00487967
6,00E-05	-0,115024	6,00E-05	0,0195256	6,00E-05	0,00600627
8,00E-05	-0,145603	8,00E-05	-0,0012362	8,00E-05	0,00198268
0,0001	-0,171193	0,0001	-0,0215151	0,0001	0,0103518
0,00012	-0,198875	0,00012	-0,0416331	0,00012	0,0053625
0,00014	-0,229133	0,00014	-0,062073	0,00014	0,00471872
0,00016	-0,259229	0,00016	-0,0825129	0,00016	0,00681099
0,00018	-0,28498	0,00018	-0,103114	0,00018	0,00970799
0,0002	-0,310409	0,0002	-0,123393	0,0002	0,00809855
0,00022	-0,337931	0,00022	-0,143672	0,00022	0,00825949
0,00024	-0,368832	0,00024	-0,164594	0,00024	0,00423589
0,00026	-0,396192	0,00026	-0,184873	0,00026	0,00616722
0,00028	-0,426289	0,00028	-0,204991	0,00028	0,00697194
0,0003	-0,456385	0,0003	-0,225431	0,0003	0,00600627
0,00032	-0,482458	0,00032	-0,245871	0,00032	0,00825949
0,00034	-0,505795	0,00034	-0,265989	0,00034	0,0053625
0,00036	-0,535248	0,00036	-0,28659	0,00036	0,00262645
0,00038	-0,563574	0,00038	-0,306547	0,00038	0,00858138
0,0004	-0,58852	0,0004	-0,326826	0,0004	0,0101908
0,00042	-0,616041	0,00042	-0,347104	0,00042	0,00584533
0,00044	-0,645816	0,00044	-0,367383	0,00044	0,00665005
0,00046	-0,673176	0,00046	-0,38734	0,00046	0,00616722
0,00048	-0,698605	0,00048	-0,407619	0,00048	0,0079376
0,0005	-0,725644	0,0005	-0,427093	0,0005	0,00616722
0,00052	-0,750107	0,00052	-0,447211	0,00052	0,00455778
0,00054	-0,778433	0,00054	-0,466525	0,00054	0,00729383
0,00056	-0,812392	0,00056	-0,486643	0,00056	0,00874232
0,00058	-0,830257	0,00058	-0,506117	0,00058	0,00504061
0,0006	-0,857296	0,0006	-0,525591	0,0006	0,00616722
0,00062	-0,885783	0,00062	-0,544904	0,00062	0,00906421
0,00064	-0,909924	0,00064	-0,5647	0,00064	0,00504061
0,00066	-0,935031	0,00066	-0,583853	0,00066	0,00455778
0,00068	-0,963196	0,00068	-0,603166	0,00068	0,00745477
0,0007	-0,989108	0,0007	-0,622157	0,0007	0,00198268
0,00072	-1,01164	0,00072	-0,640988	0,00072	0,00487967
0,00074	-1,03997	0,00074	-0,66014	0,00074	0,0013389
0,00076	-1,06604	0,00076	-0,678809	0,00076	0,00471872
0,00078	-1,0897	0,00078	-0,697318	0,00078	0,003914
0,0008	-1,11464	0,0008	-0,716631	0,0008	0,00600627
0,00082	-1,13798	0,00082	-0,734818	0,00082	0,0053625
0,00084	-1,161	0,00084	-0,753165	0,00084	0,00359212
0,00086	-1,18498	0,00086	-0,77103	0,00086	0,00665005
0,00088	-1,2125	0,00088	-0,789217	0,00088	0,0027874
0,0009	-1,23503	0,0009	-0,806759	0,0009	0,00375306
0,00092	-1,25965	0,00092	-0,825107	0,00092	0,000373237
0,00094	-1,28203	0,00094	-0,84265	0,00094	0,00198268
0,00096	-1,30343	0,00096	-0,860675	0,00096	0,00504061
0,00098	-1,32983	0,00098	-0,878057	0,00098	0,00262645
0,001	-1,35332	0,001	-0,895278	0,001	0,00327023
0,00102	-1,3736	0,00102	-0,912499	0,00102	0,00584533
0,00104	-1,39565	0,00104	-0,930042	0,00104	-0,00155809
0,00106	-1,4177	0,00106	-0,946619	0,00106	0,00584533
0,00108	-1,43814	0,00108	-0,963196	0,00108	0,00568439
0,0011	-1,45568	0,0011	-0,980096	0,0011	0,0053625
0,00112	-1,48369	0,00112	-0,996834	0,00112	0,00423589
0,00114	-1,50767	0,00114	-1,01277	0,00114	0,00520156
0,00116	-1,52231	0,00116	-1,02918	0,00116	0,00520156
0,00118	-1,5434	0,00118	-1,04479	0,00118	0,00471872
0,0012	-1,56883	0,0012	-1,06105	0,0012	0,00310928
0,00122	-1,58943	0,00122	-1,07666	0,00122	0,00166079
0,00124	-1,60552	0,00124	-1,09243	0,00124	0,00343117
0,00126	-1,6287	0,00126	-1,10756	0,00126	0,00713288
0,00128	-1,64415	0,00128	-1,12269	0,00128	0,0013389
0,0013	-1,66829	0,0013	-1,13782	0,0013	-0,00171903
0,00132	-1,68728	0,00132	-1,15279	0,00132	0,00471872
0,00134	-1,70096	0,00134	-1,16727	0,00134	0,00520156
0,00136	-1,72044	0,00136	-1,18192	0,00136	0,0027874
0,00138	-1,73927	0,00138	-1,19576	0,00138	0,00568439
0,0014	-1,75938	0,0014	-1,21008	0,0014	0,0027874
0,00142	-1,77757	0,00142	-1,22344	0,00142	0,00343117
0,00144	-1,7927	0,00144	-1,23744	0,00144	0,00343117
0,00146	-1,80895	0,00146	-1,25112	0,00146	0,00600627
0,00148	-1,82972	0,00148	-1,2648	0,00148	0,00198268
0,0015	-1,84678	0,0015	-1,2772	0,0015	0,00745477
0,00152	-1,86207	0,00152	-1,29039	0,00152	0,00214362
0,00154	-1,87784	0,00154	-1,30327	0,00154	0,00504061
0,00156	-1,89088	0,00156	-1,31566	0,00156	0,00230456
0,00158	-1,90745	0,00158	-1,32789	0,00158	-0,000592427
0,0016	-1,92483	0,0016	-1,34029	0,0016	0,00198268
0,00162	-1,93642	0,00162	-1,35171	0,00162	0,0027874
0,00164	-1,9493	0,00164	-1,36362	0,00164	0,003914
0,00166	-1,96571	0,00166	-1,37505	0,00166	0,00471872
0,00168	-1,98181	0,00168	-1,38648	0,00168	0,00101701
0,0017	-1,99307	0,0017	-1,39742	0,0017	-0,00204092
0,00172	-2,00611	0,00172	-1,40804	0,00172	0,00294834
0,00174	-2,01738	0,00174	-1,41883	0,00174	0,00407495
0,00176	-2,03218	0,00176	-1,42945	0,00176	0,00117796
0,00178	-2,04619	0,00178	-1,43959	0,00178	0,00439684
0,0018	-2,05777	0,0018	-1,44973	0,0018	0,000695125
0,00182	-2,06727	0,00182	-1,45922	0,00182	5,13E-05
0,00184	-2,08127	0,00184	-1,46936	0,00184	0,00230456
0,00186	-2,08851	0,00186	-1,47822	0,00186	0,00101701
0,00188	-2,09978	0,00188	-1,48739	0,00188	0,00375306
0,0019	-2,11056	0,0019	-1,49592	0,0019	0,0013389
0,00192	-2,12215	0,00192	-1,50477	0,00192	0,0013389
0,00194	-2,13631	0,00194	-1,51298	0,00194	0,00439684
0,00196	-2,14034	0,00196	-1,52087	0,00196	0,0027874
0,00198	-2,14935	0,00198	-1,52907	0,00198	-0,0026847
0,002	-2,15434	0,002	-1,53664	0,002	5,13E-05
0,00202	-2,16464	0,00202	-1,54372	0,00202	-0,00171903
0,00204	-2,17462	0,00204	-1,5508	0,00204	0,00117796
0,00206	-2,18202	0,00206	-1,55804	0,00206	0,00343117
0,00208	-2,18798	0,00208	-1,56464	0,00208	0,00149984
0,0021	-2,19828	0,0021	-1,57108	0,0021	-0,000270539
0,00212	-2,20327	0,00212	-1,57752	0,00212	0,00375306
0,00214	-2,20874	0,00214	-1,58315	0,00214	-0,00171903
0,00216	-2,2163	0,00216	-1,58894	0,00216	-0,00155809
0,00218	-2,21968	0,00218	-1,5941	0,00218	0,00455778
