Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0	-0,00847868	0	-0,512876	0	-0,360141
3,30E-06	0,242111	3,30E-06	-0,490183	3,30E-06	-0,361911
6,60E-06	0,493345	6,60E-06	-0,462179	6,60E-06	-0,360624
9,90E-06	0,740395	9,90E-06	-0,429186	9,90E-06	-0,356278
1,32E-05	0,980686	1,32E-05	-0,391686	1,32E-05	-0,343403
1,65E-05	1,20633	1,65E-05	-0,350323	1,65E-05	-0,333585
1,98E-05	1,42296	1,98E-05	-0,305259	1,98E-05	-0,317652
2,31E-05	1,62205	2,31E-05	-0,256815	2,31E-05	-0,294154
2,64E-05	1,80103	2,64E-05	-0,206118	2,64E-05	-0,269208
2,97E-05	1,96535	2,97E-05	-0,153167	2,97E-05	-0,238306
3,30E-05	2,1065	3,30E-05	-0,099251	3,30E-05	-0,214004
3,63E-05	2,2285	3,63E-05	-0,0438863	3,63E-05	-0,178596
3,96E-05	2,32072	3,96E-05	0,0116393	3,96E-05	-0,147212
4,29E-05	2,38671	4,29E-05	0,0660384	4,29E-05	-0,114541
4,62E-05	2,43387	4,62E-05	0,120116	4,62E-05	-0,0754313
4,95E-05	2,44868	4,95E-05	0,172905	4,95E-05	-0,0379314
5,28E-05	2,4416	5,28E-05	0,223442	5,28E-05	-0,0012362
5,61E-05	2,40136	5,61E-05	0,271242	5,61E-05	0,0365856
5,94E-05	2,34116	5,94E-05	0,316628	5,94E-05	0,0719933
6,27E-05	2,25313	6,27E-05	0,357669	6,27E-05	0,107079
6,60E-05	2,14095	6,60E-05	0,39533	6,60E-05	0,14297
6,93E-05	2,00849	6,93E-05	0,428324	6,93E-05	0,178377
7,26E-05	1,84931	7,26E-05	0,457294	7,26E-05	0,20944
7,59E-05	1,67533	7,59E-05	0,481113	7,59E-05	0,238892
7,92E-05	1,48058	7,92E-05	0,499783	7,92E-05	0,267379
8,25E-05	1,26669	8,25E-05	0,512819	8,25E-05	0,287819
8,58E-05	1,04136	8,58E-05	0,519901	8,58E-05	0,310995
8,91E-05	0,807509	8,91E-05	0,522154	8,91E-05	0,32886
9,24E-05	0,559976	9,24E-05	0,518131	9,24E-05	0,343184
9,57E-05	0,30842	9,57E-05	0,507669	9,57E-05	0,354128
9,90E-05	0,0547723	9,90E-05	0,49254	9,90E-05	0,357186
0,000102	-0,194208	0,000102	0,471135	0,000102	0,364912
0,000106	-0,454132	0,000106	0,44474	0,000106	0,362658
0,000109	-0,700054	0,000109	0,413195	0,000109	0,357025
0,000112	-0,940343	0,000112	0,377143	0,000112	0,347208
0,000115	-1,16824	0,000115	0,336746	0,000115	0,333045
0,000119	-1,39259	0,000119	0,29313	0,000119	0,321296
0,000122	-1,59297	0,000122	0,245813	0,000122	0,303431
0,000125	-1,78111	0,000125	0,195759	0,000125	0,275266
0,000129	-1,94753	0,000129	0,143613	0,000129	0,255148
0,000132	-2,09994	0,000132	0,0898581	0,000132	0,222637
0,000135	-2,22226	0,000135	0,0352981	0,000135	0,189322
0,000139	-2,32462	0,000139	-0,0200666	0,000139	0,157294
0,000142	-2,39914	0,000142	-0,0751095	0,000142	0,123495
0,000145	-2,45321	0,000145	-0,129348	0,000145	0,0887315
0,000148	-2,48138	0,000148	-0,18262	0,000148	0,0525191
0,000152	-2,47671	0,000152	-0,2338	0,000152	0,00681099
0,000155	-2,4479	0,000155	-0,282566	0,000155	-0,0261825
0,000158	-2,39302	0,000158	-0,328596	0,000158	-0,0631996
0,000162	-2,31432	0,000162	-0,371246	0,000162	-0,101504
0,000165	-2,20906	0,000165	-0,410033	0,000165	-0,13321
0,000168	-2,0787	0,000168	-0,444314	0,000168	-0,170388
0,000172	-1,92902	0,000172	-0,474733	0,000172	-0,200485
0,000175	-1,76148	0,000175	-0,499679	0,000175	-0,231708
0,000178	-1,57188	0,000178	-0,519475	0,000178	-0,260839
0,000181	-1,36942	0,000181	-0,534443	0,000181	-0,28498
0,000185	-1,1441	0,000185	-0,543295	0,000185	-0,306225
0,000188	-0,914431	0,000188	-0,546836	0,000188	-0,324411
0,000191	-0,670118	0,000191	-0,544421	0,000191	-0,340184
0,000195	-0,418885	0,000195	-0,536213	0,000195	-0,351611
