Frequency - Plot 0	Amplitude - Plot 0
1042,07	0,0717461
1998,94	0,150818
2001,06	0,150812
1999,75	0,150818
2000,79	0,150797
2999,98	0,224959
3000,21	0,224884
3000,18	0,224899
4000,1	0,298246
4000,23	0,297994
3999,81	0,297962
4000,1	0,297933
4999,89	0,369954
5000,04	0,369856
4999,88	0,370071
5999,93	0,440396
6000,52	0,440592
5999,88	0,440382
6999,82	0,509394
7000,47	0,509108
7000,41	0,509212
7000,41	0,509332
8000,25	0,576341
8000,09	0,576236
8000,32	0,576168
8999,88	0,641309
9000,06	0,641443
9000,01	0,641285
9000,04	0,641362
10000,1	0,704525
9999,92	0,704399
10000,2	0,704384
11000,4	0,76543
11000,2	0,765383
11000,2	0,765295
12000,2	0,824247
12000,3	0,824124
12000,2	0,824047
12000,3	0,824105
13000	0,880529
13000,1	0,880427
13000,3	0,880741
14000,2	0,935078
14000,2	0,935072
14000,4	0,935096
14000,2	0,934956
15000,2	0,987099
15000,2	0,987033
15000,2	0,987148
16000,1	1,03704
16000,3	1,03696
16000,1	1,03693
17000,2	1,08468
17000	1,0847
16999,8	1,08459
17000,1	1,08465
18000,3	1,13056
18000,3	1,13026
18000,3	1,13027
19000	1,17372
19000	1,17359
19000,1	1,17368
19000,1	1,17368
20000,2	1,21536
20000,3	1,2151
20000,1	1,21517
21000,3	1,25463
21000,4	1,25471
21000,3	1,25439
22000,2	1,29203
22000,1	1,29197
22000,2	1,29205
22000,2	1,29211
23000,2	1,32769
23000,3	1,32762
23000,2	1,32772
24000,4	1,36169
24000,4	1,36175
24000,3	1,36185
24000,4	1,36154
25000,3	1,39403
25000,4	1,39382
25000,3	1,39416
26000,3	1,42476
26000,2	1,42473
26000,1	1,42485
26000,3	1,42469
27000,3	1,45377
27000,4	1,45384
27000,3	1,45367
28000,4	1,48149
28000,3	1,48145
28000,3	1,48139
29000,3	1,50752
29000,4	1,5074
29000,4	1,50773
29000,2	1,50753
30000,2	1,53275
30000,3	1,53253
30000,3	1,53235
31000,4	1,55625
31000,3	1,55637
31000,3	1,55622
31000,3	1,55619
32000,4	1,57871
32000,4	1,57863
32000,3	1,57862
33000,4	1,60017
33000,3	1,60004
33000,3	1,6002
34000,4	1,62058
34000,4	1,62064
34000,3	1,62054
34000,3	1,62069
35000,4	1,63998
35000,4	1,63996
35000,4	1,63995
36000,4	1,65858
36000,4	1,65815
36000,5	1,65837
36000,5	1,6583
37000,3	1,67578
37000,3	1,6758
37000,4	1,6758
38000,4	1,69249
38000,4	1,69233
38000,4	1,69242
38000,5	1,69247
39000,4	1,70826
39000,6	1,70841
39000,5	1,70835
40000,5	1,72336
40000,3	1,7236
40000,3	1,72352
40000,3	1,72332
41000,5	1,73797
41000,3	1,73807
41000,4	1,73765
42000,5	1,75174
42000,5	1,75171
42000,5	1,75174
42000,5	1,75166
43000,3	1,76479
43000,4	1,76496
43000,4	1,76488
44000,4	1,77742
44000,4	1,7772
44000,4	1,77732
45000,6	1,78958
45000,4	1,78923
45000,5	1,78926
45000,5	1,78937
46000,7	1,80071
46000,5	1,80082
46000,5	1,80069
47000,5	1,81175
47000,5	1,81159
47000,4	1,81177
48000,6	1,82223
48000,5	1,82204
48000,5	1,82208
48000,5	1,82219
49000,6	1,83216
49000,6	1,8321
49000,5	1,8318
50000,6	1,8417
50000,4	1,84153
50000,5	1,84143
50000,5	1,84175
